projid,external_management,client_base,risk,contract_type,Contractor_type,Delivery_model,state,jv,Sector,Profit Center Lock indicator,recur_revenue,Service_focus,Contract_type2,actual_margin,original_bid_margin,Days,start_year,Bid_margin_per_day
1,no,Private Sector,1,1,1,1,Ontario,no,Red,yes,N,1,Type 1,3908224.61,2074454.12,304,2014," 6,824 "
2,no,Private Sector,3,2,1,2,Ontario,no,Orange,yes,N,2,Type 2,16546602.29,17991393.86,696,2014," 25,850 "
3,no,Public Sector,2,1,1,3,Ontario,no,Orange,no,N,3,Type 1,12939517.72,9189919.75,304,2014," 30,230 "
4,no,Public Sector,3,1,1,3,Ontario,no,Orange,no,N,3,Type 1,17525352.48,4700813.83,751,2014," 6,259 "
5,no,Private Sector,1,1,1,1,Ontario,no,Red,yes,N,1,Type 1,13143758.88,8847605.81,516,2014," 17,147 "
6,no,Public Sector,2,1,1,3,Ontario,no,Orange,no,N,3,Type 1,38002811.29,34236886.6,243,2014," 140,893 "
7,no,Public Sector,2,1,1,3,Ontario,no,Orange,no,N,3,Type 1,1925244.29,1576790.42,288,2014," 5,475 "
8,no,Private Sector,3,2,1,1,Saskatchewan,no,Red,yes,N,4,Type 2,-175322.09,4300857.37,637,2014," 6,752 "
9,no,Private Sector,3,2,1,1,Saskatchewan,no,Red,yes,N,4,Type 2,2918589.24,5780884.66,336,2014," 17,205 "
10,no,Private Sector,1,1,1,1,Ontario,no,Red,yes,N,5,Type 3,474778.53,332285,0,2015, -   
11,yes,Public Sector,2,1,1,3,Ontario,no,Orange,no,N,3,Type 1,4659467.7,2958679.74,348,2014," 8,502 "
12,no,Private Sector,2,1,1,2,Alberta,no,Red,yes,N,5,Type 3,-1569290.86,4929647.3,371,2015," 13,287 "
13,no,Private Sector,1,1,1,1,Ontario,yes,Red,yes,N,1,Type 4,9592220.32,7540450.12,506,2015," 14,902 "
14,no,Private Sector,1,1,1,2,Ontario,no,Orange,yes,Y,3,Type 1,300400.63,286631.05,679,2015, 422 
15,no,Private Sector,1,1,1,2,Alberta,no,Red,yes,N,5,Type 3,-122938.36,409365.15,188,2015," 2,177 "
16,no,Private Sector,3,2,1,2,Ontario,no,Red,yes,N,1,Type 2,-584383.2,253804.14,365,2015, 695 
17,no,Private Sector,1,1,1,1,Ontario,no,Red,yes,N,1,Type 1,5527068.59,4938056.74,534,2015," 9,247 "
18,no,Public Sector,3,2,1,1,Alberta,no,Red,yes,N,6,Type 2,711214.15,312068.57,585,2015, 533 
19,yes,Public Sector,3,1,1,3,Ontario,yes,Orange,no,N,3,Type 1,-9246485.54,9704225,640,2015," 15,163 "
20,no,Private Sector,3,2,1,2,Ontario,no,Orange,yes,N,2,Type 2,2754818.63,1134314.72,672,2016," 1,688 "
21,no,Public Sector,1,1,1,2,Ontario,yes,Orange,yes,Y,3,Type 1,36272.41,212989,841,2015, 253 
22,no,Private Sector,1,1,1,1,Ontario,no,Red,yes,N,1,Type 1,7346.4,-96003.29,17,2015,"-5,647 "
23,no,Private Sector,1,1,1,2,Ontario,no,Orange,yes,Y,3,Type 1,3290314.1,-6539911.28,470,2015,"-13,915 "
24,no,Private Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,1988745.76,372438.52,1370,2015, 272 
25,no,Private Sector,1,1,1,1,Ontario,no,Red,yes,N,1,Type 1,4826004.07,3060707.01,637,2015," 4,805 "
26,no,Private Sector,1,1,1,1,Ontario,no,Red,yes,N,1,Type 1,173753.62,634578.83,497,2015," 1,277 "
27,no,Private Sector,1,1,1,1,Alberta,no,Red,yes,N,1,Type 3,2023356.58,494786.24,1206,2013, 410 
